lm_halo,n_sats_halo
10.19407,0
10.1140375,0
10.156431,0
11.239902,1
10.196539,1
12.699363,42
10.01184,0
10.837313,0
10.756811,1
10.287417,0
10.642268,0
11.041054,4
11.38647,2
10.204601,1
11.076245,4
10.104681,0
13.617421,406
10.064944,1
10.407704,0
10.795998,1
11.637646,3
9.93436,0
12.528431,32
10.757839,1
9.948495,0
13.015812,92
10.326679,0
10.790513,0
11.169523,5
10.650272,0
10.125497,0
9.944065,0
11.985461,12
10.207899,1
12.801133,54
11.056462,0
10.240773,1
10.55623,0
9.934612,1
9.991487,0
10.210353,0
10.10557,1
12.4919,28
12.589176,28
10.413292,0
10.554275,1
11.057612,4
11.40482,3
10.065939,0
11.390511,4
10.327628,1
9.944305,0
10.140932,0
9.904587,0
10.977346,0
10.296506,0
9.918359,0
10.198911,0
11.078278,1
10.858051,0
11.223995,4
10.437499,1
10.160866,0
10.088095,1
11.038319,2
12.733172,29
10.613696,1
10.665805,0
10.371731,0
10.133351,0
9.999865,0
9.953909,0
10.835112,0
10.253849,0
10.708587,1
10.136923,0
11.555271,2
10.501151,0
10.124637,0
10.000743,0
10.062657,1
11.109844,2
9.997454,0
9.9095545,0
10.281873,0
10.644867,0
10.532623,1
10.870827,0
11.420628,4
9.932685,0
10.067999,0
10.563327,0
11.093046,3
10.485986,0
10.3732395,1
10.137215,0
10.376587,0
11.821616,11
10.128346,0
9.913106,0
11.168947,3
12.615004,49
10.435075,1
13.183279,157
10.568758,0
10.227106,1
10.633314,1
9.975577,0
12.527935,30
10.16075,0
10.830136,1
12.815613,57
9.996951,0
11.130284,2
12.127412,16
11.426229,6
10.990504,1
10.465801,0
9.903683,0
10.677391,0
10.833108,0
9.945335,0
10.368089,0
10.728151,0
10.71487,0
9.950582,0
11.309262,3
11.331652,3
9.934563,0
10.401312,0
11.489423,6
10.062095,0
10.928598,0
10.287123,0
10.215506,0
13.537703,321
9.937143,1
10.229265,0
10.33197,0
9.914255,0
10.384513,0
11.864443,7
10.482278,0
10.010866,1
10.055029,0
10.52953,1
10.570923,1
10.735365,0
9.951529,0
10.122672,0
11.003748,1
9.930624,0
11.686465,10
10.474744,0
10.829269,1
10.015537,0
9.99373,0
10.601619,0
13.039032,107
11.273674,2
9.908001,0
10.215629,0
11.9488125,6
10.026878,0
9.909456,0
13.196466,121
10.255222,0
10.494366,0
9.985139,0
9.949372,0
10.3498125,0
11.72111,5
10.608294,0
9.928508,0
10.624809,1
11.381286,3
12.961463,83
11.178674,4
10.104166,1
10.301709,0
10.434203,0
12.574504,42
10.322585,0
10.328369,0
9.987791,1
9.90487,0
10.874398,1
10.72069,1
10.110055,0
9.942357,0
9.905792,0
10.181452,0
10.052133,0
10.563234,0
10.987864,2
10.737134,1
10.028847,1
11.007234,1
11.21931,1
10.191999,0
9.990929,0
10.542303,0
9.940907,0
11.855259,8
9.913371,0
11.2123995,5
10.044229,0
10.374716,1
9.911767,0
12.312086,25
10.890845,1
9.971167,0
10.09576,0
9.904397,0
10.202098,0
11.372282,2
11.91829,9
11.760914,8
10.50254,1
12.322671,26
11.496079,3
12.222849,12
10.262832,0
10.138431,0
10.522058,0
10.047372,0
10.79768,0
10.017373,0
10.978491,2
12.120432,16
10.147089,0
10.676466,0
11.034488,1
10.646472,0
10.756231,0
11.338199,2
10.992357,2
10.623327,0
11.335126,3
10.878244,2
9.957867,0
12.412307,22
10.383915,2
12.007581,4
10.461047,1
10.126203,1
10.327325,1
9.935991,0
12.079301,16
12.403285,25
10.9590435,2
9.909408,0
10.381601,0
10.263241,0
10.759549,1
9.940407,1
10.177971,0
10.0359335,1
11.261034,1
10.865506,2
10.320876,0
11.3678665,5
9.979292,0
9.954343,0
9.972286,0
11.450994,2
10.044215,0
9.988933,0
10.371854,2
10.561009,0
10.054366,0
10.475362,0
13.611095,364
10.090418,0
11.149849,1
10.512053,1
12.1861315,11
11.552705,5
11.71369,7
10.286925,1
10.749501,0
10.94713,1
12.688277,45
9.905143,0
11.378618,2
12.106329,13
9.986662,0
9.906982,2
12.042612,14
9.987671,0
12.13037,15
12.203993,7
12.895371,85
10.268422,1
9.990721,0
13.182146,136
10.115549,1
9.903394,0
10.398526,1
10.053801,1
10.046861,0
12.607494,37
10.329826,0
9.919429,0
9.975866,0
11.254086,1
10.208593,0
10.472921,1
9.921574,0
9.971759,0
10.256884,0
10.616484,0
10.164018,0
11.040289,1
10.230526,1
10.323835,0
10.066325,0
10.173578,0
11.500404,0
10.066319,0
10.8303995,2
10.435921,0
13.178125,147
9.909446,0
10.118336,1
10.164062,1
12.479894,26
10.124269,0
10.049878,0
11.986947,10
9.958549,2
11.022408,0
13.554254,342
13.554254,342
10.795112,0
10.218069,1
10.500871,1
10.072412,0
12.709893,53
10.582868,1
10.152016,0
13.823022,637
11.3158245,2
10.010391,0
11.380951,2
9.981006,0
10.665234,0
10.0369835,0
13.265076,152
10.865972,0
9.961424,1
10.225656,1
10.066559,0
12.719344,56
10.44005,2
11.355322,2
10.14996,0
11.154307,4
9.935099,0
10.740887,0
10.440422,0
12.364801,14
10.017518,0
12.892375,80
9.983294,0
9.997034,0
10.199901,0
9.978574,0
10.688983,0
10.686137,1
10.510753,0
11.187419,2
12.369022,31
11.421531,1
12.476773,35
12.431436,26
10.006077,0
10.663955,2
11.610799,7
9.96333,0
10.289537,0
10.702489,3
9.94355,0
10.3511505,1
10.043178,0
12.389496,21
9.948055,1
10.21956,0
11.54299,4
11.558784,1
