kind,n_sats_halo,log_luminosity_r01
0,0,7.510186
0,0,7.8207016
0,0,8.363894
0,0,7.393484
0,0,7.465536
0,0,8.69508
0,0,7.705074
0,0,7.8330336
0,11,10.457213
0,0,8.239403
0,0,7.8016353
0,0,7.5607247
0,0,8.118925
0,0,8.628836
0,1,9.131232
0,0,8.602251
0,0,8.197169
0,0,7.69474
0,0,7.648081
0,0,7.647561
0,0,7.6625137
0,0,8.28888
0,0,7.7585115
0,0,7.9375224
0,0,8.003818
0,0,7.910773
0,0,7.7476215
0,0,9.073883
0,0,8.093712
0,0,8.619794
0,2,9.704268
0,1,7.9436893
0,4,9.301812
0,0,7.8046255
0,1,7.737366
0,0,8.4478035
0,0,7.6228614
0,1,8.693903
0,0,7.60527
0,0,8.098339
0,0,8.850669
0,0,8.636251
0,0,7.835952
0,0,7.5411253
0,1,8.037901
0,0,9.06891
0,1,8.106401
0,0,8.453542
0,1,7.4499693
0,0,7.779915
0,0,7.805774
0,1,7.7485847
0,0,8.371926
0,3,9.841956
0,0,7.73768
0,1,8.225554
0,0,7.538404
0,0,7.7439604
0,0,7.4327726
0,0,9.160851
0,0,7.99001
0,0,7.693432
0,0,8.234844
0,0,8.823159
0,1,8.313691
0,0,7.850649
0,0,8.52619
0,0,8.202221
0,0,7.8541603
0,0,7.7805624
0,0,7.5311785
0,0,8.854929
0,0,7.862416
0,0,7.9312463
0,0,8.428418
0,0,7.8601823
0,0,7.482894
0,1,7.948272
0,2,9.269798
0,0,7.808274
0,0,7.4578257
0,0,8.422655
0,0,8.9157295
0,1,8.745339
0,0,8.886774
0,0,7.72083
0,0,7.9827094
0,0,8.455644
0,0,8.467401
0,1,8.447294
0,0,7.9601274
0,0,8.250341
0,0,8.061899
0,0,7.5590854
0,1,8.276377
0,0,8.568239
0,1,8.04336
0,0,7.5903635
0,0,7.99259
0,57,11.094975
0,0,7.5755014
0,1,9.105056
0,0,8.23437
0,0,7.544102
0,0,8.674328
0,0,8.786649
0,0,7.443333
0,0,8.371476
0,0,8.544541
0,0,8.909865
0,0,7.5963316
0,3,9.651389
0,0,7.791353
0,0,8.252614
0,0,7.676003
0,0,8.952438
0,0,8.358099
0,0,7.893869
0,0,8.007785
0,0,8.0015745
0,0,7.596054
0,0,8.27007
0,7,10.256942
0,0,8.543227
0,1,7.7260985
0,0,7.7897434
0,1,8.397778
0,0,9.033699
0,0,7.795737
0,0,7.934556
0,0,7.512916
0,0,8.233749
0,0,7.784787
0,0,7.6341515
0,0,8.723668
0,0,7.4955497
0,0,7.893873
0,0,7.8417373
0,0,7.3504753
0,0,7.942424
0,0,8.431643
0,0,7.5124993
0,0,7.574018
0,0,8.211974
0,0,8.561204
0,0,7.5863237
0,1,7.959073
0,0,8.031642
0,0,8.236038
0,0,7.995815
0,0,8.2517185
0,0,7.356408
0,0,8.072235
0,0,7.6457486
0,0,7.516885
0,0,7.958681
0,0,7.773301
0,0,8.60485
0,1,9.148929
0,1,9.414519
0,0,7.991901
0,0,7.594711
0,0,8.579604
0,0,7.61892
0,0,7.50148
0,0,7.6052856
0,0,7.5329
0,0,7.6727285
0,0,7.7183533
0,0,7.6226344
0,0,8.035656
0,1,8.575538
0,0,8.002267
0,0,7.840777
0,0,8.5241165
0,0,7.876431
0,0,9.102018
0,0,7.4336886
0,0,7.9556637
0,0,8.715584
0,1,9.007982
0,0,8.754465
0,0,8.685071
0,2,9.571055
0,0,8.544231
0,3,9.675723
0,0,7.701957
0,22,10.660404
0,4,10.552365
0,0,7.590577
0,0,7.483741
0,0,8.17794
0,0,8.008287
0,0,7.8194494
0,2,8.803601
0,0,8.195644
0,0,7.552898
0,0,7.611167
0,0,7.54114
0,0,7.8295054
0,0,7.823275
0,0,8.366865
0,0,7.5504575
0,0,8.327621
0,0,7.8269763
